dates,names,monthly_listeners,popularity,followers,genres,first_release_year,last_release_year,playlists_found
2024-04-01,stayc,3049521.0,63,1782552,"k-pop, k-pop girl group",2020,2024,K-Pop ON! (온)
2024-04-01,langhorne slim,1060777.0,51,163686,"anti-folk, indie folk, modern folk rock, new americana, stomp and holler",2008,2023,Sunrise Run
2024-04-01,hontoni,119199.0,35,60,,2021,2024,Meditate to the Sounds of Nature
2024-04-01,d'verti,46999.0,29,42,,2022,2024,Meditate to the Sounds of Nature
2024-04-01,luke bryan,10460890.0,76,8487512,"contemporary country, country, country road, modern country rock",2007,2023,Sunrise Run
2024-04-01,phoenix feels,84567.0,33,30,,2023,2024,Meditate to the Sounds of Nature
2024-04-01,the boyz,1285501.0,60,2845229,"k-pop, k-pop boy group",2020,2024,K-Pop ON! (온)
2024-04-01,priy,561554.0,49,106,,2022,2023,Meditate to the Sounds of Nature
2024-04-01,wendy,1885379.0,62,907553,"k-pop, korean pop",2015,2024,K-Pop ON! (온)
2024-04-01,floatspace,106755.0,34,386,,2022,2024,Meditate to the Sounds of Nature
2024-04-01,mad season,568020.0,49,598724,"alternative metal, alternative rock, blues rock, grunge, supergroup",1995,1995,Grunge Forever
2024-04-01,little may,221557.0,38,51747,indie folk,2014,2019,Sunrise Run
2024-04-01,john ocean,176072.0,40,4394,background music,2019,2024,Meditate to the Sounds of Nature
2024-04-01,peaceful earth,45499.0,30,78,,2021,2023,Meditate to the Sounds of Nature
2024-04-01,chris cornell,2080900.0,59,2127586,"alternative metal, alternative rock, grunge, hard rock, post-grunge, rock",1999,2020,Grunge Forever
2024-04-01,drew-10,653.0,5,101,,2020,2024,Meditate to the Sounds of Nature
2024-04-01,ashia kashyap,88388.0,33,82,,2021,2023,Meditate to the Sounds of Nature
2024-04-01,j-hope,3919781.0,74,17187002,"k-pop, k-rap",2018,2024,K-Pop ON! (온)
2024-04-01,tomorrow x together,8827250.0,77,9718213,"k-pop, k-pop boy group",2019,2024,K-Pop ON! (온)
2024-04-01,temple of the dog,1531741.0,54,1227103,"alternative metal, alternative rock, grunge, hard rock, rock, supergroup",1990,2016,Grunge Forever
2024-04-01,delta rae,316892.0,42,91258,folk-pop,2012,2022,Sunrise Run
2024-04-01,heal divisions,229015.0,39,70,,2023,2024,Meditate to the Sounds of Nature
2024-04-01,the head and the heart,3591723.0,62,1072496,"folk-pop, seattle indie, stomp and holler",2011,2022,Sunrise Run
2024-04-01,re:inhabit,168710.0,38,233,,2023,2024,Meditate to the Sounds of Nature
2024-04-01,skin yard,44360.0,26,31666,"grunge, underground grunge",1987,2012,Grunge Forever
2024-04-01,helios relaxing space,611536.0,54,7932,,2023,2024,Meditate to the Sounds of Nature
2024-04-01,gaeko,880098.0,62,139091,"k-rap, korean r&b",2014,2023,K-Pop ON! (온)
2024-04-01,kopecky,18210.0,20,21906,nashville indie,2010,2015,Sunrise Run
2024-04-01,campane,98728.0,34,47,,2023,2024,Meditate to the Sounds of Nature
2024-04-01,vance joy,24123895.0,75,3023746,"folk-pop, modern rock",2014,2023,Sunrise Run
2024-04-01,forest gold,122465.0,36,183,,2021,2024,Meditate to the Sounds of Nature
2024-04-01,huh yunjin,6119596.0,68,667285,,2022,2024,K-Pop ON! (온)
2024-04-01,ishara,94435.0,33,144,,2023,2024,Meditate to the Sounds of Nature
2024-04-01,the avett brothers,2338880.0,59,974758,"indie folk, new americana, north carolina indie, north carolina roots, progressive bluegrass, stomp and holler",2002,2024,Sunrise Run
2024-04-01,mhino,162612.0,40,137,,2021,2023,Meditate to the Sounds of Nature
2024-04-01,yoon mirae,1935386.0,62,284513,"k-pop, korean ost, korean pop, korean r&b",2001,2023,K-Pop ON! (온)
2024-04-01,soeren zen,517671.0,48,272,,2022,2024,Meditate to the Sounds of Nature
2024-04-01,aurora avery,68593.0,31,64,,2021,2023,Meditate to the Sounds of Nature
2024-04-01,babymonster,3667742.0,64,812906,,2023,2024,K-Pop ON! (온)
2024-04-01,j.y. park,997677.0,50,153494,classic k-pop,2001,2023,K-Pop ON! (온)
2024-04-01,green river,75274.0,32,90197,grunge,1990,2019,Grunge Forever
2024-04-01,max,10687678.0,70,892321,"singer-songwriter pop, teen pop, viral pop",2016,2024,K-Pop ON! (온)
2024-04-01,sacred dreams,286426.0,43,533,,2023,2024,Meditate to the Sounds of Nature
2024-04-01,nct dream,4666237.0,74,7608002,"k-pop, k-pop boy group",2019,2024,K-Pop ON! (온)
2024-04-01,floating portal,16057.0,21,116,,2020,2024,Meditate to the Sounds of Nature
2024-04-01,francois mirere,242545.0,43,109,,2022,2024,Meditate to the Sounds of Nature
2024-04-01,pearl jam,15096498.0,75,8594757,"alternative metal, alternative rock, classic rock, grunge, hard rock, permanent wave, rock",1991,2024,Grunge Forever
2024-04-01,delta spirit,255629.0,40,119651,"modern folk rock, piano rock, stomp and holler",2006,2022,Sunrise Run
2024-04-01,solfeggio dreams,284809.0,49,2116,"healing hz, solfeggio product",2022,2024,Meditate to the Sounds of Nature
2024-04-01,adam by nature,198588.0,41,1819,,2019,2024,Meditate to the Sounds of Nature
2024-04-01,dinosaur jr.,668136.0,51,521457,"alternative rock, lo-fi, noise pop, noise rock, permanent wave, power pop",1985,2021,Grunge Forever
2024-04-01,nmixx,4806390.0,70,2627521,"k-pop, k-pop girl group",2022,2024,K-Pop ON! (온)
2024-04-01,(g)i-dle,12951093.0,77,8785108,k-pop girl group,2020,2024,K-Pop ON! (온)
2024-04-01,sponge,249150.0,40,121779,"grunge, pop rock, post-grunge",1994,2023,Grunge Forever
2024-04-01,itzy,6515716.0,73,7015827,"k-pop, k-pop girl group",2020,2024,K-Pop ON! (온)
2024-04-01,chung ha,2694061.0,62,2166309,k-pop,2019,2024,K-Pop ON! (온)
2024-04-01,toadies,859843.0,49,294958,"alternative rock, grunge, pop rock, post-grunge",1994,2023,Grunge Forever
2024-04-01,veruca salt,457218.0,46,268623,"alternative pop, alternative rock, grunge, lilith, riot grrrl",1994,2023,Grunge Forever
2024-04-01,stone temple pilots,6235488.0,67,3426402,"alternative metal, alternative rock, classic rock, grunge, hard rock, nu metal, post-grunge, rock",1992,2021,Grunge Forever
2024-04-01,hevios,151961.0,36,88,,2023,2024,Meditate to the Sounds of Nature
2024-04-01,domy castellano,337686.0,49,1107,organic ambient,2023,2024,Meditate to the Sounds of Nature
2024-04-01,ashcan johansen,159407.0,39,233,,2021,2022,Meditate to the Sounds of Nature
2024-04-01,stray kids,8281944.0,82,14875131,"k-pop, k-pop boy group, pop",2018,2023,K-Pop ON! (온)
2024-04-01,riize,3123992.0,65,584561,,2023,2024,K-Pop ON! (온)
2024-04-01,tad,58714.0,30,58047,grunge,1989,1995,Grunge Forever
2024-04-01,dpr ian,4381522.0,70,1260073,k-rap,2020,2023,K-Pop ON! (온)
2024-04-01,lake melville,264162.0,43,58,,2022,2024,Meditate to the Sounds of Nature
2024-04-01,brandi carlile,5260544.0,65,805290,"acoustic pop, ectofolk, folk, indie folk, lilith, modern folk rock, new americana",2005,2024,Sunrise Run
2024-04-01,isobel belano,195169.0,38,845,background music,2019,2024,Meditate to the Sounds of Nature
2024-04-01,george ezra,14495818.0,72,4135338,"folk-pop, neo-singer-songwriter",2013,2023,Sunrise Run
2024-04-01,aisher rami,107044.0,38,79,,2023,2023,Meditate to the Sounds of Nature
2024-04-01,l7,562019.0,47,314314,"alternative rock, grunge, punk, riot grrrl",1988,2023,Grunge Forever
2024-04-01,zephyrical,348397.0,44,218,healing hz,2022,2024,Meditate to the Sounds of Nature
2024-04-01,moon echo,178978.0,38,47,,2023,2024,Meditate to the Sounds of Nature
2024-04-01,illit,2294589.0,69,305003,,2024,2024,K-Pop ON! (온)
2024-04-01,shownu x hyungwon (monsta x),989092.0,48,55179,,2023,2024,K-Pop ON! (온)
2024-04-01,moon garden,214476.0,41,336,,2023,2024,Meditate to the Sounds of Nature
2024-04-01,jarra,35201.0,26,215,,2022,2024,Meditate to the Sounds of Nature
2024-04-01,trampled by turtles,1185609.0,55,387264,"duluth indie, indie folk, jam band, new americana, progressive bluegrass, stomp and holler",2004,2022,Sunrise Run
2024-04-01,iu,7663140.0,73,8459764,"k-pop, pop",2009,2024,K-Pop ON! (온)
2024-04-01,endel,575882.0,53,39644,,2023,2024,Meditate to the Sounds of Nature
2024-04-01,los sobriles,222532.0,40,336,,2021,2024,Meditate to the Sounds of Nature
2024-04-01,p1harmony,1834750.0,64,1085898,"k-pop, k-pop boy group",2020,2024,K-Pop ON! (온)
2024-04-01,v,8801760.0,83,17584997,"j-division, korean ost",2016,2024,K-Pop ON! (온)
2024-04-01,x ambassadors,13807771.0,71,2970334,"modern alternative rock, modern rock, stomp pop",2013,2024,Sunrise Run
